layer                                     name  gradient   parameters                shape         mu      sigma
+-------+-------------+---------+
| Index | Class       | AP      |
+-------+-------------+---------+
| 0     | aeroplane   | 0.71755 |
| 1     | bicycle     | 0.73462 |
| 2     | bird        | 0.62920 |
| 3     | boat        | 0.51738 |
| 4     | bottle      | 0.51800 |
| 5     | bus         | 0.75085 |
| 6     | car         | 0.78330 |
| 7     | cat         | 0.77943 |
| 8     | chair       | 0.52833 |
| 9     | cow         | 0.69296 |
| 10    | diningtable | 0.63761 |
| 11    | dog         | 0.75661 |
| 12    | horse       | 0.78561 |
| 13    | motorbike   | 0.78837 |
| 14    | person      | 0.76526 |
| 15    | pottedplant | 0.43865 |
| 16    | sheep       | 0.60287 |
| 17    | sofa        | 0.63656 |
| 18    | train       | 0.78817 |
| 19    | tvmonitor   | 0.76651 |
+-------+-------------+---------+
---- mAP 0.68089 ----
Train epoch[118]: [49/518], total loss: 2.431513547897339 lr:0.0037644
Train epoch[118]: [99/518], total loss: 2.236032247543335 lr:0.0037644
Train epoch[118]: [149/518], total loss: 2.2103452682495117 lr:0.0037644
Train epoch[118]: [199/518], total loss: 1.9316155910491943 lr:0.0037644
Train epoch[118]: [249/518], total loss: 2.127356767654419 lr:0.0037644
Train epoch[118]: [299/518], total loss: 2.289116382598877 lr:0.0037644
Train epoch[118]: [349/518], total loss: 2.2300267219543457 lr:0.0037644
Train epoch[118]: [399/518], total loss: 2.0967352390289307 lr:0.0037644
Train epoch[118]: [449/518], total loss: 2.0065271854400635 lr:0.0037644
Train epoch[118]: [499/518], total loss: 1.9022727012634277 lr:0.0037644
Train epoch[119]: [49/518], total loss: 2.149224281311035 lr:0.0036865
Train epoch[119]: [99/518], total loss: 1.977731704711914 lr:0.0036865
Train epoch[119]: [149/518], total loss: 2.273643732070923 lr:0.0036865
Train epoch[119]: [199/518], total loss: 2.2151265144348145 lr:0.0036865
Train epoch[119]: [249/518], total loss: 2.051640510559082 lr:0.0036865
Train epoch[119]: [299/518], total loss: 2.1307876110076904 lr:0.0036865
Train epoch[119]: [349/518], total loss: 2.254857301712036 lr:0.0036865
Train epoch[119]: [399/518], total loss: 2.2196056842803955 lr:0.0036865
Train epoch[119]: [449/518], total loss: 2.1526193618774414 lr:0.0036865
Train epoch[119]: [499/518], total loss: 2.2273900508880615 lr:0.0036865
Train epoch[120]: [49/518], total loss: 2.099543571472168 lr:0.0036089
Train epoch[120]: [99/518], total loss: 2.0683822631835938 lr:0.0036089
Train epoch[120]: [149/518], total loss: 1.9235780239105225 lr:0.0036089
Train epoch[120]: [199/518], total loss: 2.024796962738037 lr:0.0036089
Train epoch[120]: [249/518], total loss: 2.0039591789245605 lr:0.0036089
Train epoch[120]: [299/518], total loss: 1.9083069562911987 lr:0.0036089
Train epoch[120]: [349/518], total loss: 2.157885789871216 lr:0.0036089
Train epoch[120]: [399/518], total loss: 2.022618055343628 lr:0.0036089
Train epoch[120]: [449/518], total loss: 2.040163516998291 lr:0.0036089
Train epoch[120]: [499/518], total loss: 2.074702739715576 lr:0.0036089
